User_Name,Location,Tweets
blinkeuarmyeh,,@betoolibertie how is this i really want to watch them but i have no money i want to use illegal links but they wor… https://t.co/BcEOcBc5Ek
BANGTAN1598,,RT @KitsuneRaizen: If someone question it then can they answer this question po. Do they experience those time of uncertainty and hopeless…
TinkyOC,,@lang51b @funder Wouldn’t change a thing if she did. These people are beyond hopeless.
ianblackbourn2,Born Rutherglen.,@Robinho_1979 well said m8 there fckn hopeless. 💩s
lilvenicebitchz,Rihanna'nın kalbinde,We found love in a hopeless place✨ https://t.co/DZCY8Kc4Ai
AngiPlant,"Linicro, Skye, Scotland",@semoorhead I don’t know I’m hopeless I just stumble along and hope!
MukhtarHanifQ11,,"@t_d_h_nair Exactly, A buzdil n hopeless man"
i_shouldnt_be,,RT @TheCrownedOne_: I’m such a hopeless fuckin romantic
SkeriSunako,,RT @KitsuneRaizen: If someone question it then can they answer this question po. Do they experience those time of uncertainty and hopeless…
whatupGQ,ATL,"RT @csinclairart: Hopeless Romantic

VALENTINES DAY https://t.co/QsIycvEjh2"
iamdebolina7,near sushant ,"@its_parthiv Bcoz I can never make them happy , I made them always hopeless, couldn't fulfil their desire or dreams… https://t.co/srEK44A7ZY"
Hopeless_Bard,🎨:,{{ I’m just going to say this even though people will probably disagree A SHIT TON but the Distantquest sprites for… https://t.co/ZwdUK4snyr
KitsuneRaizen,,If someone question it then can they answer this question po. Do they experience those time of uncertainty and hope… https://t.co/sRCufiokAm
RGreggKeller,"St. Louis/Washington, DC",I have no doubt that liberal Democrats like @ProjectLincoln will convince some politically credulous donors to part… https://t.co/voRw8Fiq7f
rimmzsshh_,,RT @TheRealRimzee: Had to get focussed on the block I was hopeless
SATANSK00,stfu I'm taken✌︎,"Dear author nim,
Thank u for ruining the romantic girl inside me!! 😀 
                            Sincerely a hopel… https://t.co/TR61jXZuIq"
Diesel_Humble,NJ,"RT @synsati0n: I’m too loyal, and too focused. To be losing &amp; be hopeless"
Johanne44410425,"Aalborg, Denmark",@alex_avoigt It's laughable. This will be hopeless when you think of cutting cost with scaling. VW must be bleeding… https://t.co/AGsvLdyQJV
kaylacomi,,My problem is I’m a hopeless romantic &amp; I keep falling for temporary people..
hungryforks,𝓀𝓇𝒾𝓈𝓉𝓈𝒾𝓃ℊ𝓉ℴ,@kyeOtieddier you're hopeless go to sleep
mkelek,The Beaches,@imgrund @SteiniBrown I'm feeling hopeless about all this. For months I only go out for food and medical appointmen… https://t.co/H3WcegKyTX
DaNayNayyy,Pixburgh/PG County,RT @TyArrah_: I’m too loyal...and too focused...to be losing...or be hopeless.
ZjaMortizha,,RT @lycafrancesca: im such a hopeless romantic it isn’t even cute anymore
nonlovso,she/her 19,"@sunaosakita That is very deep actually, I teust your judgement on this. I recently had an existential crisis becau… https://t.co/HHWZhKLSfA"
Rians_Hopeless,"Pockets, USA",@AllTransLivesM1 I feel seen... https://t.co/U1FX5Jx2nm
rxsebaee,♡|ᴇɪɢʜᴛᴇᴇɴ🏳️‍🌈,"RT @weepingcrystals: . 
                    caspian lee. 
             
              bisexual. switch. oa. 
              moody ceo au.…"
BLUEFIGS,"HEMPSTEAD, NY. 11550","@SmileyReet @PamKeithFL @aheffne @StephenAtHome @AOC I know the frustration,  and it appears hopeless, but remember… https://t.co/p2Q2oj7PqD"
Bielka02197943,,RT @Koki3558: Mr.President @POTUS we were waiting for u today.we are sad and hopeless.Time is running out of us please we stop sleeping let…
ImDahDude110,"Karachi, Pakistan","I feel hopeless, depressed, angry, but most of all I'm scared. 😔💔 https://t.co/zG3z7Uwooi"
Paulinememe17,"Ohio, USA","RT @codeofvets: If you are feeling lost, shattered, hopeless. Make a call.

Suicide is not the answer. Life is messy. Life is beautiful. Re…"
way2_x,they/them ? she/her,"RT @elysian_rm: Joon Harem AU: Namjoon gets reborn as the villain(ess) of an otome game.

[A lesser know fact about Namjoon was that he was…"
PaulGarvey4,Dawlish (Old sea wall) above.,@IanJSinclair @chrisdysonHT How have these people not resigned? They have done us such a disservice &amp; allowed so ma… https://t.co/KoyKGG3O76
Fergiebhoy671,,@natashameikle @ACSOM A loan player who looks like a fan who’s won the chance to play with his boyhood team hopeless 🙈
Rosislife9,,@betoolibertie @KingKuma94 @blinkueforlifue @Limario_0327 @tuanderella @juunghwannie @macyeverywhere… https://t.co/iwxK1gCnRK
alrightjedi,rp/fl • 21+ • she/her,"RT @alrightjedi: Logan. 💘

21+. been here way too long. horror junkie. cat lover. massive star wars nerd. bisexual. taurus. gemini moon. sc…"
ANGEL_adoboo,POLITICAL SCIENTIST ⚖️,@lalisasbitch10 @LiliLocked @LISANATIONS_ @lisamygem @lalisarchive If you still dont get it then you’re hopeless https://t.co/RM2TFTtpZF
BlueJamie99,"Maghull, England",RT @PaulBrownEFC: Im done completely fuckin finished getting my hopes up anymore. I’ll support them and be happy when we win but that today…
george4043,In your head,RT @OgbeniDipo: When you engage and amplify stupidity it encourages them to post more senseless nonsense like “all men must die” or “imagin…
miracle_babyyyy,London & Amsterdam,"I’m in therapy now, and I’ve spent the better part of almost two years feeling hopeless and desperately anxious. All the time. 22/24"
MafiaPmc,,"RT @SameenAshraf10: #increasepunjabMBBSseats
Students giving MDCAT is increasing day by day..increase the seats of the most populated provi…"
p0etictrxgedy,"San Fernando, Argentina","RT @sweet_revengx: I'm desperate for your affection, it's hopeless, I know, but that's just who I am. It's like my mind has mirrored walls…"
syntoastcronch,,RT @LoserISDylan: i hate politics so much this shit just makes me hopeless
shree_jal,,"""Some see a hopeless end,while others see an endless hope."""
Tezza_c1878,,RT @PaulBrownEFC: Im done completely fuckin finished getting my hopes up anymore. I’ll support them and be happy when we win but that today…
_Timonger,"Texas, USA",RT @HannigramSimp: Hannibal is 50% bitch and 50% hopeless romantic https://t.co/4R0wM8N8lD
ng_480,,RT @thesecret: There is no such thing as a hopeless situation. Every single circumstance in your life can change.
john_johnsenior,Yorkshire and The Humber,"RT @Craft_D: In 2021 consider how 'gradualism' as the only mainstream, normalised opposition in the face of inhumane, oppressive policies (…"
homemadeheroin,الأَنْدَلُس‎,"@TENBE0M hi darling, it's okay if you don't donate - you need money too. I'm so sorry you're in this situation as w… https://t.co/LKTCt37nvK"
Nafeeel,Maldives,This team is hopeless 🙄
HollidayJari,"Aurora, NE","RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
Wilf1872,Aberdeen,"RT @SctMcL5: @Wilf1872 He wouldn’t get a game with an amateur team. Hopeless, but a great signing for them."
edubooklover,"Brooklyn, NY",RT @thesecret: There is no such thing as a hopeless situation. Every single circumstance in your life can change.
devangbchudasam,,"RT @PallavCa: India will be the only country to recover huge late fees and fines even in times of epidemic. Despite persistent requests, th…"
Nellyblue85,,RT @PaulBrownEFC: Im done completely fuckin finished getting my hopes up anymore. I’ll support them and be happy when we win but that today…
BilingualSimmer,,Do you sometimes feel hopeless that the one thing you want is the one thing you can’t get no matter how hard you tr… https://t.co/DOeAMutzYt
musquackk,ur mums house ,just figured out im a hopeless romantic dont look at me its embarrassment hrs 🙄
badcorpse,"Glasgow, Scotland",@TEnglishSport Absolute disgrace from Lennon. His loyalty to a hopeless player when he totally shafted Barkas who w… https://t.co/msSYCVun0t
SctMcL5,"Motherwell, Scotland","@Wilf1872 He wouldn’t get a game with an amateur team. Hopeless, but a great signing for them."
tclyqyh,,"@10SPEARB NOOOO NOT HOPELESS, WE'RE TOO HOPEFUL"
PennedbyAlex,,"RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
Pascot52,"Wassenaar, Netherlands","@terrieshorter @LuvverDuck @afneil No wrong again. You guys are hopeless! EU reserve this for now, while monitoring… https://t.co/KeLZsz6yWX"
marisasgarden,,"bitches be like ""I'm not a hopeless romantic"" but then listen to the ""forever is the sweetest con"" chapter on repeat https://t.co/SfJT1hr138"
arushwrob,𝘪𝘯 𝘺𝘰𝘶𝘳 𝘢𝘳𝘦𝘢.,"@sooya_snowdrop done, thanks for doing this! I'm pretty hopeless rn and yeah I'm so desperate to see The Show tomorrow 🥺😭"
EarlswoodWarw,"Earlswood, Warwickshire",RT @toryboypierce: EU finally approve @AstraZeneca vaccine more than a month after the UK. What a hopeless bureaucratic shower
StekkuHouse,Company Name,Koyama triggered my chad awakening and I blame Bones for not making enough content for him thus making me a hopeless hunk man
bhead316,Best Coast. ,@deadrocketcow @GaymerStream @daesr1 @TiffanyDCross @CrossConnection @Scaramucci He pretty much has. I’ve seen him… https://t.co/AUL7qP1DH9
cybrwrm,they | 25,that was one of the first things that genuinely excited me at a time when i was feeling the most hopeless. all of m… https://t.co/ZnNNORt8JX
kathquiambao_,Living by His grace,"RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
AliceBowdy,"London, Uk",@TraceyBleakley @jowhiley @WhoGivesACrapTP Patience. It will happen. Your puppy will pick up on your reactions and… https://t.co/PoSWCngEkG
Gregmaclachlan1,,Struggling to think of a game this season that Shane duffys played and no been trending on Twitter for the wrong re… https://t.co/WKaFHWlMku
QuantumBeautytv,"Texas, USA","RT @codeofvets: If you are feeling lost, shattered, hopeless. Make a call.

Suicide is not the answer. Life is messy. Life is beautiful. Re…"
TheRealRimzee,London,Had to get focussed on the block I was hopeless
malliband_paige,,I think the hardest thing about hyperemesis is it makes me cry so much with feeling so hopeless and ill. Caleb said… https://t.co/YwSBhQMJ8o
NormanF43041800,,"RT @codeofvets: If you are feeling lost, shattered, hopeless. Make a call.

Suicide is not the answer. Life is messy. Life is beautiful. Re…"
MafiaPmc,,RT @MHY00386871: We are already facing health crisis in Pakistan and our honorable higher authorities are promoting pvt mafia.We donot want…
TahoeBoulder,USA.,"@lmoon79 @combienDUtemps @MollyJongFast Yes, pretty sure I have pandemic-induced dysthymia. And am in bed more than… https://t.co/BHwvzXrBWt"
MuziDaMbuzi,"Johannesburg, South Africa","RT @ZolaniPhakade: "" too many devils in my life got it claustrophobic, Pen magnifies the truth trust the focus.The ink, page and logic mix…"
arushwrob,𝘪𝘯 𝘺𝘰𝘶𝘳 𝘢𝘳𝘦𝘢.,@lisajellic I'm pretty hopeless now. but yeah I'll try again 🥺 @BLACKPINK
AgentScotland,,"@zerobeard Nope, he's on £45k a week and he's utterly hopeless, I feel sorry for the fans who bought ST's and have basically paid his wages."
redsarah99,,"RT @Craft_D: In 2021 consider how 'gradualism' as the only mainstream, normalised opposition in the face of inhumane, oppressive policies (…"
kylegoose11,Ullapool,"@NUFC_HQ @SkySportsNews GOOD GOD NOOOOOOOOOOO, HES FUCKIN HOPELESS! Lazy bastard."
Bot_Constanza,,"When you're hopeless, you don't care, that indifference makes you feel good to be alive."
DeboT21,,"Actually have acquaintances who posted, “Isn’t it nice that Dr. Fauci looks so happy and relaxed now?” Same people… https://t.co/MR8dFHegYr"
blinkeuarmyeh,,@lisajellic how is this i really want to watch them but i have no money i want to use illegal links but they work r… https://t.co/xWBNiwJxgk
AdedzeEnoch,"Accra, Ghana",@Banku_nTilapia Why won’t he be fed up with a hopeless place like this... even the old can get fed up not to talk abt the young..
chelspaulman,,"@CoriBush As a Missourian that is ashamed of our states representatives more times than not, you are my hope and in… https://t.co/QzKjlFtKK4"
Sherileevs,United States,@vivarioarriba @AnnHendrickson1 @RepHerrell I feel hopeless trying to reason with them.
Byb2021,,@guardian She’s hopeless. Must resign now. A national security risk
Cent50917412,,"January 6, 2021.11:54PM 
My heart full of hatred, dissapointment and HOPELESS MEANINGLESS LIFE I HAVE. 
Im totally… https://t.co/6O4EKEEkJJ"
blinkeuarmyeh,,@lisajellic how is this i really want to watch them but i have no money i want to use illegal links but they work r… https://t.co/XpzGP4TQzR
mikethompson78,"Gainesville, GA","@skipbolden @thetalentguru One of the great ""paranoid"" movies of the 70s. The man owns you. The man controls you. Y… https://t.co/nco839kbQF"
_mikeegadiana,HSAM | DLSU,RT @maydayparade: You can call it the Valentine's Day drop. You can call it the Anti-Valentine's Day drop. You can even call it the Call Me…
Blueber13277075,,"@Harshita_15_ I'm hopeless now 😴
When he'll b free from amnesia &amp; we'll get a pleasant happy face of vani ?😔😞😣"
flightwit,800 332-7359 • Get free app at,Hopeless about flying due to ineffective therapy? This works. Guaranteed https://t.co/o59Ga02k7o travel ttot RT https://t.co/Qk1els2nDu
jilicevjk,SUGA,@FastFreeCrypto @BLACKPINK Pls choose me omg im hopeless https://t.co/LjxpntQ7to
mochiiseungmj, 🇵🇭 she/her,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
Craft_D,United Kingdom,"In 2021 consider how 'gradualism' as the only mainstream, normalised opposition in the face of inhumane, oppressive… https://t.co/VgyUSnDJE7"
MafiaPmc,,"RT @aliahmadkhan121: #increasepunjabMBBSseats
Students giving MDCAT is increasing day by day..increase the seats of the most populated prov…"
nans_long,,"RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
KellyCoon106,"On the couch, drinking champagne",You just wait. I’ve got a hopeless romantic contemp fantasy story stirring inside of me and I just have to finish o… https://t.co/XiiHIURGro
PardonMyJasz,New Jersey,"RT @synsati0n: I’m too loyal, and too focused. To be losing &amp; be hopeless"
Sandeep52030411,,RT @three_totols: @ramnikmann @capt_amarinder Damn! I had respect for @capt_amarinder even if he is in Congress. Now I feel hopeless. @Just…
owenjones539,,"Feel sorry for @simeonakinola9, how’s he meant to get on the end of a hopeless hoof ball. Guaranteed if he played a… https://t.co/tmzhibAnQk"
od_stanley,,RT @OgbeniDipo: When you engage and amplify stupidity it encourages them to post more senseless nonsense like “all men must die” or “imagin…
elyna_nina,,"I think one of His blessing is after what happens to me, He still protect my heart from hatred. I can’t afford to h… https://t.co/PFTOSmcui7"
TootWooders,Wandsworth,"@CJPhillips1982 Agreed Chris, truly hopeless"
Caleb_UW,United Kingdom,"@Hush_Kit F-104... Looked good on the drawing board, but was absolutely hopeless at everything (including landing).… https://t.co/12TE7Z1Tct"
cereabl,she/her | rlthingy,RT @wiznds: i'm broke and hopeless too wishing i could get back to you
slashkevin,"Arlington, VA",@DisneyDan How brave... but ultimately hopeless
st_mindmansion,대한민국 마포구,"RT @NewYorker: Studies suggest that relying on will power is hopeless. Instead, we must find strategies that don’t require us to be strong.…"
TheHeedDog,,"@ClydeSSB Big Doofy strikes again , fuckin hopeless.🕺🏽"
BCh3ck,,RT @lavenderkcals: i have to remember that calories=energy so when i don’t eat i’m just depriving myself of vital energy which is necessary…
synsati0n,The Constellations ✨,"I’m too loyal, and too focused. To be losing &amp; be hopeless"
LeaNhleko,"Durban, South Africa","RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
tundebalogun06,Lagos ,RT @OgbeniDipo: When you engage and amplify stupidity it encourages them to post more senseless nonsense like “all men must die” or “imagin…
joem1967_,"Omagh, Ireland",RT @ConorM67_: He may do some ok things there at times but Ajer is never a right back. He’s forced out their because we’ve not replaced Fri…
lewishynd1874,"Crossgates, Fife🏴󠁧󠁢󠁳󠁣󠁴󠁿",@RyanCowie_ Fuckin hopeless bro
RutlandShrimper,"Rutland, London, Andalucia",@CJPhillips1982 Utterly hopeless.  I’m going to spend the 2nd half looking at the National League locations
Amani3Nuha,,"RT @HXylona: People become very hopeless that there is no hope of getting out this miserable condition. May 2018

Muhammad Qasim Dreams htt…"
bfatchett,Yorkshire ,"@AshBurty Total disaster so far. We have no shape, no style. Nothing. Not sure what he is trying to achieve. He has… https://t.co/1NBDS4EsMm"
HeidiSoulsby,Guernsey,@GuernseyRamble Yes I am trying to respond to them. The same comments made by different people on the same feed in… https://t.co/cOvwnoJ3jP
ShoeyEFC1234,Liverpool ,"Even in games we win btw, same performances even in games we’ve won, the 3 crabs in midfield are hopeless, and that… https://t.co/Zq5Wem43Fs"
TwinklingKyuT00,,@jkyuace Left Hopeless now ~ not even expecting! 🤷🏻‍♀️ https://t.co/Da6wlPEtd1
ConorM67_,Glasgow,He may do some ok things there at times but Ajer is never a right back. He’s forced out their because we’ve not rep… https://t.co/UoRHPsY9Ml
cqlaim,cyber-nyanyi bernyanyi. ,RT @wiznds: i'm broke and hopeless too wishing i could get back to you
AlliHOfficial,,"RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
tatayjessie,"Manila, Philippines",RT @CobyMeir0808: @ALDubFTnQT @MarryCarTL29hk @pinkyfaye @AverillaNena @wengcookie @mariachonatabe1 @russelle87 @noemicaseres53 @demesa_ian…
mickmcm75,,"@ETimsNet Turnbull was our best player recently playing in the middle, let's shift him out right to let moi get a g… https://t.co/8wXXKA7gcG"
PolSahil,"Bhiwandi, India","RT @NikkiTamboliFC: “Don’t ever lose hope. Even when life seems bleak and hopeless, know that you are not alone.” 

WE LOVE BADTAMEEZ NIKKI"
badgallvla,IE,"feeling hopeless at this point, idk what to do to get this baby out of me😢"
mundanemajority,"Indianapolis, IN",Jesus is our mind control Laser - shhh - our plans on world domination have been working for 2000 years. Keeping pe… https://t.co/oBZGY2Hk1m
AbhyYEH26,,@betoolibertie hoping to have a slot for me &amp; my friend @psyche_blinkeu she even gave half of d money on her gcash… https://t.co/cGje8430T6
imfortreaspinks,,"@laliiisaprms Please, I just wanted to watch blackpink perform legally. I have been joining many giveaways and I wa… https://t.co/Jj5tGXXwtv"
_rayBliss_,,@mufcAH @ShantaBlind Let's see. They just look hopeless at the minute
matkins1457,WI,"RT @codeofvets: If you are feeling lost, shattered, hopeless. Make a call.

Suicide is not the answer. Life is messy. Life is beautiful. Re…"
bacalaitodejoon,She/her,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
munsbaby,,"RT @pixiesite: you are beautiful and no matter where you are on your self love journey, I support you and promise that you will get there.…"
Carola_Finch11,international,"Finding Hope When All Seems Hopeless
https://t.co/DQCoRZWemZ https://t.co/YszyPAWbEK"
katiebillington,"Harlow, East",@EdinspireGeoff @SWLiteracy @mazst @lisa_jeffery1 @SusanGodsland @jojolarrieu @mssfax Just to hammer this point hom… https://t.co/WOs2RYTZkY
AFCRizZypw,,@AFCYax Fulham would have about 5 with a decent ST hopeless team
CraigCowie67,Buckie/Edinburgh,@callumhenrik Trying to watch this is burning my eyes hahhaha hopeless
crow234621,"Florida, USA","@HHNCrypt Let's hope , rest of the world is hopeless thanks for being that light"
AbidMunib,,"RT @SameenAshraf10: #increasepunjabMBBSseats
Students giving MDCAT is increasing day by day..increase the seats of the most populated provi…"
Being_Victorian,"Third Heaven..👼,Heaven's Gate",RT @OgbeniDipo: When you engage and amplify stupidity it encourages them to post more senseless nonsense like “all men must die” or “imagin…
suenowers1,,"@JamesCleverly No, no change, you are still my hopeless, uncaring MP."
sviiinee,skz + stay = FAM,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
stephen_mackie,,@90MinuteCynic Duffys hopeless but Bains pish too all we hear that we’ve never seen barkas make a save what’s Bain done
Rishu_ma28,Born on September 28,"RT @valand_rakesh: When you help someone who is lost and confused, when you hold someone who is sad and grieving, when you hug someone who…"
davidro83728290,"South Cave, England","@PureLeeds WBA win but they won’t, they’re hopeless and already down with the blunts"
Auntydiski,Peace,"RT @Terrypedia: @Auntydiski Our situation at Naturena is hopeless. Congratulations though, well played https://t.co/6ZqrQ5meYe"
Winlouves_hk,,"RT @ld_iamyvonne: When you feel hopeless and lonely inside, know there is someone who loves you dearly. I will never give up on you both.…"
HillaryAraujo19,"Bakersfield, CA USA","RT @Proverbs31org: When fear whispers doubt into our hearts, and the future seems too scary to think about, we can remember...

Even when i…"
Spongefreddie88,,I don't even know why I have registered so many accounts and then all my tweets are the same shit. Make people hate… https://t.co/Bjezl6pVGn
ShawnBoludoArg,argentina 🇦🇷 ||-//,"RT @harryslyricbot: i know you were way too bright for me, i'm hopeless, broken, so you wait for me in the sky"
FRIKSHON,"Mansfield, Nott'mshire","@NFFC My god that was bad. Again can’t keep possession making Barnsley look like Brazil on the break, then when we… https://t.co/xd0r2fSQY8"
Yusuf37207026,Next to you,"RT @hayateey1: Keep sharing employment opportunities. God bless you as you do. 

In Sha Allah none of you seeing this will walk out of 2021…"
mhmmdahdyt,"Kanayakan, Bandung","""Promise me you'll survive. That you won't give up, no matter what happens. No matter how hopeless.""

- Jack #titanic"
n_jj44,,"@TXTOFFlCIAL They’re do that to enhypen too ,and
they're the same one who leaked bts bbma performance, they just hopeless 🤢"
pataz1,,@Bitterchick @RosevilleMutt @dangainor @Cernovich @andrewcuomo As hopeless as believing fox “news” actually deliver… https://t.co/kIyjtvhOin
RobertKearney10,"Fort Bragg, NC","RT @codeofvets: If you are feeling lost, shattered, hopeless. Make a call.

Suicide is not the answer. Life is messy. Life is beautiful. Re…"
laura_mugz,London ,Looking at the word document in front of me as I try to workout how to persuade a literary agent to take a chance o… https://t.co/BlBkjBJWCT
Frank54955386,,"RT @AriesQueeeenn: As a teenager I loved novels, harlequin,silhouette,mills and alot of others. Like I can put novel inbetween my biology t…"
Tahoe_Wolf,"Texas, USA","Feeling a bit of anger &amp; depression today. It’s crazy how RH crippled the crypto &amp; stock movements, can’t even use… https://t.co/f6dChWpDJG"
klowipforskz,🇰🇷 | stay dept | ssgv,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
BritishSos,Great Britain ,@HeavenlyMalbec @figuregirl77 I'm afraid that's the level of sanity left in the Remain rearguard.  Hopeless and clueless..
Terrypedia,"Johannesburg, South Africa","@Auntydiski Our situation at Naturena is hopeless. Congratulations though, well played https://t.co/6ZqrQ5meYe"
lycafrancesca,,im such a hopeless romantic it isn’t even cute anymore
rm40216208,,RT @MHY00386871: We are already facing health crisis in Pakistan and our honorable higher authorities are promoting pvt mafia.We donot want…
nehasin05189729,,"RT @Vindhya81414150: I am fulfilling all criteria given by the government and  now I am very hopeless because of no work, I wanted a job to…"
southernlady111,,"RT @codeofvets: If you are feeling lost, shattered, hopeless. Make a call.

Suicide is not the answer. Life is messy. Life is beautiful. Re…"
yoonohflwr,quacktwt + kpoptwt / read carrd byf!,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
jeonginizer,she/her,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
KacieAbrigos,Texas,I have never regretted anything in my life as much as I regret moving to Texas. I looked past the awful politicians… https://t.co/ahBl058tPE
knjbonsaifairy,multi,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
wiznds,#ca: cuka-cuka aku.,i'm broke and hopeless too wishing i could get back to you https://t.co/CTgOEgeimY
AbidMunib,,"RT @aliahmadkhan121: #increasepunjabMBBSseats
Students giving MDCAT is increasing day by day..increase the seats of the most populated prov…"
sungieplush,,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
Olisa_Marvis,,RT @OgbeniDipo: When you engage and amplify stupidity it encourages them to post more senseless nonsense like “all men must die” or “imagin…
Charliebinbag,Edinburgh,@JamTarts Henderson brings fuck all he is hopeless
0613atdawn,arah🌙 she/her,"me: suicide has never happened because someone truly doesnt want to live, people who die of suicide have just suffe… https://t.co/h0ziHEbPgu"
malkiajasmine,,Ima sucka for it definitely a hopeless romantic how I get like this 😂🤧 https://t.co/YoAVK27VBO
LadyOfTheOcean1,,@NuckChorris16 @MuscleBalancing @rationalfinker @Dominique85_86 @Dennisabm @MinnesotaExpat @newsjunky2… https://t.co/wLv7Cm6sGs
intohyunins,met innie 202911 ,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
annayws,,pls tell me there are other hopeless romantics out there 😔
kokurookok,rinrin,"The sun has disappeared from the horizon
The darkness has settled in 
My Moon, My Luna
The hopeless night has encag… https://t.co/DJ8QM7vff6"
hyunjintanmanis,"bed, sofa, anywhere cozy","RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
caldwellrowan29,,We are fucking weak and fucking hopeless.
bhart1970,glasgow,"GTF you can’t keep picking this guy every week,worse than hopeless"
ether_67,112 paradise,@ETimsNet @hen1rik I never want to see Duffy in a celtic Jersey again. He's fuckibg worse than hopeless. Lennon can… https://t.co/A6xgddahMF
OluwoleJammie,,RT @OgbeniDipo: When you engage and amplify stupidity it encourages them to post more senseless nonsense like “all men must die” or “imagin…
maze_lanterns,,@_natastrophe_ 2 me the concept of grace is very useful in navigating an honest understanding of my own failings wi… https://t.co/w8CklKOnEx
pasteltyunie,MINOR ! under 15,"RT @intohyunins: “alien” is.. just like that song you want or need to listen late at night, when you feel misunderstood, hopeless, voiceles…"
jha_vj,,"@ShashiTharoor Irony, congress not able to identify Nehru even symbolic freedom fighter but claim it's a copyright… https://t.co/l0KWMSGxEA"
Ohyeah115,"Barcelona, Spain",Cada día mes hopeless and awkward and desperate for love
The_BingBoy,The Bing,@Kev_Carson Correct Kev. He’s fucking hopeless. Send him back to Brighton the now. Just shows how had the young boy… https://t.co/CEwAS7HIeG
jamiemcgeorge,111,Shane duffy wouldnt get a game down the park on a sunday morning. Fucking hopeless.
ronshan7,Sunny Costa del Ardrossan ,Big Duffy is a inspiration to all the young kids out there who think they can’t make it at fitba because some hopel… https://t.co/VC11RN3YMG
