User_Name,Location,Tweets
jim_dear1,Durham City,"@lthompsoncomedy Certainly, I work within an NHS team as a service manager including mental health. The resources t… https://t.co/w5IHmxmiLL"
Clarethemuse,,"RT @g_gosden: In summary:
1️⃣ the EU made a mistake which they rectified in hours
2️⃣ we threatened exactly the same thing on Jan 13th 

Th…"
gaybo704,"Virginia Beach, VA",RT @T12DLC: Suicide thoughts come and go like a guest to me but I don't wanna die I just wanna get relief.
Khushi4justice,,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
its___Elena,,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
we_are_nina,UK,New study shows 'disturbing findings about the frequency of suicide and the emotional pain suffered by women in pro… https://t.co/CIltTtoZVE
ravensspirit68,,@chattyknana @maatmouse @POTUS Many more are dying due to pain induced complications or by suicide. But it seems th… https://t.co/fkvamBCFww
duff_armstrong,,@TheRickWilson @Publix If they were driving their employees to suicide and hanging nets outside the windows to catc… https://t.co/tagfwQrWj3
ScottBurk20,https://butwhentheydeliveryouu,Right now this is people in Soldotna this is afraid of people afraid of myself not commiting suicide...
Justice132465,Shri Krishna charanam🙏,"RT @Khushi4justice: Why is it that all fake news/ fake tweets/ suicide theory were spread by the same select few lutyens media?
@PMOIndia @…"
nab1803,,"I'm so happy to announce last June I was asked to have a part in Suicide Squad, yes, I did the mocap for the apple… https://t.co/6pGkN5mQWN"
8erpentineskies,"Connecticut, USA",RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
JasramPokhriya5,,Two Congmen who oft use Gandhi’s name are Tharoor and Pappu family. But mute question is whether they deserve to us… https://t.co/nqfnciVOXq
doppy_enjo,,"RT @EDKerberos: [OC]

TW // bugs, holes, bright colors, suicide mention?
.
.
.
.
.
.
.
RUSHED #ArtScoutsChallenge [@ArtSquadPH] !!!!!!!!!!…"
ShamaAnjumak,Karnataka,"RT @Riyadenny: He thought Nazi rule will last  a 1000 years.  He was ditched by his first assistant, his friend Mussolini was killed by the…"
OfficialFifunmi,SouthSide,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
tiamacpherson,"Ontario, CA",RT @AlykhanAbdulla: Medical community calls for additional mental health support as one nurse died by suicide last week https://t.co/WnBOUq…
phdabmd,Nagkakape sa gedli.,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
LILITHmad,The Netherlands,RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
Amolpatil786,"Chembur, Mumbai","RT @cskkanu: @mataonline It's husband suicide so no further investigation, no punishment to women who are responsible for this killing.
#Hu…"
DingaBelle,,RT @SOS_Initiatives: SOS Silence of Suicide is recognised by @ITV @thismorning on their Suicide Prevention helplines page. Thanks for allow…
EricJOstroff,Massachusetts,"RT @dmtoft: @KatieKirman Thank you, Katie. Have a great day.

Suicide bombers have become a renewable resource, but who is buying their sou…"
urielatpeace,"Florida, USA","RT @TraderMechanic2: @Dogecoinxx #DOGE screw it, I'm dumping all my stocks for more equity, I'm going ALL IN on #DogecoinToTheMoon suicide…"
_sirhamza,,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
kyd0ll,"Houston, TX",RT @MissLafayee: Why everybody keep talking bout a block party on the south side ? That’s like suicide
AIMANzech,,I think my brain just committed suicide https://t.co/f0hzFb6G0v
Rockcmrk,,"RT @BillTufts: Out of control

Health Canada issued a suicide crisis warning

 Toronto health issued an opioid death warning 

Trudeau just…"
Anshul_G1993,Nikal Pehli Fursat mein,RT @SeriEternitySSR: @Its_Tanaya_ @FlyingKrishna Haan sahi u seen that damn video how she has changed her tune from murder to suicide it bo…
Ricco_Diaz,"Bronx, NY",Second police officer died by suicide following Capitol attack https://t.co/OG2f3FrTjN via @politico
Jeramiahcaplin1,,RT @URDailyHistory: 30 Jan 1943: Hitler promotes General Friedrich #Paulus to Field Marshall a day before Paulus surrenders at #Stalingrad.…
peterandann,A place in the rain. Europe,"RT @g_gosden: In summary:
1️⃣ the EU made a mistake which they rectified in hours
2️⃣ we threatened exactly the same thing on Jan 13th 

Th…"
PreetiK38397033,India🇮🇳,"RT @aartisharma309: Of Course He didn’t do Suicide 
Evidence Everywhere 
Screaming Loud n Clear
That Its -Murder Murder 
CBI Decode SSR Mur…"
TonyChavira,"Sterling, IL","RT @askjillian: Just woke thinking about the officer that was murdered Jan 6, &amp; 5 others permanently damaged by brain injuries, one lost an…"
Geminiseventh,Worldwide,"RT @MATOMRADHA: Khalistan -jihadi funding Law breaking  Farmers 'Hunger Strike is A 'Political drama'Sponsored by Congress,left parties.Whe…"
DJPhemzydee,Lost in sadness,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
lowkeyatiger,,"⚠︎tw: mentions of suicide⚠︎

after a hospital visit because of an attempted OD my dad especially suddenly started g… https://t.co/qzRydZmFcx"
juliamariewhite,,a great thread to walk you through accessing the suicide prevention text line! https://t.co/MJYqmD0p99
Satpdifusion,Ciudad Autónoma de Buenos Aire,"RT @PsychTimes: In custody or back in the community, individuals who have recently been arrested are at elevated risk for suicide. Why and…"
K_arishma_28,"Chandigarh, India","RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
MRepges,"Tönisvorst, Germany","@BBielendorfer Wake up!
Grab a brush and put a little make-up!
Hide the scars to fade away the shake-up!
Why'd you… https://t.co/h3EzT8sLng"
SurajKumar4SSR,,"RT @Kumardip10: What kind of professional experience does meme police have that they can say its a suicide within 5 minutes?
On what experi…"
cxnarycries,,"ah, feeling a little depressed. guess it’s time to search for todoroki/bakugou + suicide attempt on ao3 ✌🏼"
therealjesal,London / Los Angeles ,Deaths prompt suicide training at Excluded UK after people 'frozen out of financial support' https://t.co/xYr1OXiVxB
jwlongthelast,"saint louis, missourah","@ESOP_STL This is terrible, and heartbreaking for those close to them, but I am having a hard time understanding th… https://t.co/G2pwcEpDzu"
Warrior41219633,Kuala lumpur,"RT @PiyaliBh: So, CBI When you are planning to come with your next statement from “probing all angle” to eliminating Suicide angle? It’s be…"
DidntGetaway483,"Philadelphia, PA",RT @rebound911stl: Sending our sincere condolences to the blood and blue family of Officer Jeffrey Smith of the Washington Metropolitan Pol…
CrystalMaracle,"Ontario, Canada",RT @URDailyHistory: 30 Jan 1943: Hitler promotes General Friedrich #Paulus to Field Marshall a day before Paulus surrenders at #Stalingrad.…
DIORSHUA,ysa is a minor 이제노 나의 아기 ♡	,"tw// death

my classmate just committed suicide 😭 we're never that close but we do talk before he always had the al… https://t.co/wuWYo3oNSm"
lifegoesvt,she/they 18 ☆ carrd byf !,"tw // mention of suicide

 lmfao op trying to explain that both artists are amazing while another pressed military… https://t.co/e0XykF6yNn"
Unluckky13,,@NickBreakerNCO @INDPspirit Is there a Suicide?
Vmbritsch,"Greater Denver, CO","RT @LRPow79: In the Capitol #insurrection:
🚓140 Police Officers injured
🚓2 Have committed suicide
🚓1 was beaten to death
Blue Lives don’t r…"
shelleynapier,Virginia,"RT @finefrenzee: @Americanist4u @LindaWesson Sicknick was a trumper.

1st suicide, Liebengood’s (?), father had ties to Manafort. The offic…"
sonokocentral,northern hemisphere,RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
TedStriker33,,"RT @BillTufts: Things are spiraling out of control in something very bad is happening

Top military officer stepped in for Trudeau yesterda…"
peace1,,"RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
Gajendra_Das95,India,"RT @sumitd61932277: #TrueWorship_TrueHappiness
Suicide does not solve the problem.
Rather, precious human life is destroyed by suicide.If y…"
Bella0P,she/her :) minor,"RT @Perryinnit: // implied suicide

if you see a twitter poll with no context that looks something like this (it’s just an example dw), DON…"
shivampd016,,"RT @arvindk9570: #TrueWorship_TrueHappiness
Suicide does not solve the problem.
Rather, precious human life is destroyed by suicide.If you…"
heisfela,Dreamville,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
IssuesWoman,Alabama,"RT @joeykennedy: Suicide is real people. It is dangerous and deadly. Do not take suicidal statements from a loved one for granted. 

The Na…"
anil_yeul, India,"RT @itsmekkd05: No suicide note
No froth from mouth
No eyes protruded 
No tongue popping out
With no circumstantial evidence of su!cde how…"
ikandiNuux,"Toronto, Canada",RT @lorrainelamchop: calls from jails are still not free and people rack up THOUSANDS of dollars a month in bills. phone calls are not acce…
DidntGetaway483,"Philadelphia, PA","RT @AOC: While you conveniently talk about “moving on,” a second Capitol police officer lost their life yesterday in the still-raging after…"
nsemkekaGhana,Ghana,Jomoro Municipal Police Commander allegedly commits suicide https://t.co/crCod3FTxm
kiran_vh,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Riyadenny,Kochi,"He thought Nazi rule will last  a 1000 years.  He was ditched by his first assistant, his friend Mussolini was kill… https://t.co/jcu2YGqGjy"
sovic_brown,,"RT @johanxcv: Lads, when are we gonna commit mass suicide so twitter user ulxma from Lagos Nigeria will be happy"
CliveMark2,Rightmove-on-Sea,RT @URDailyHistory: 30 Jan 1943: Hitler promotes General Friedrich #Paulus to Field Marshall a day before Paulus surrenders at #Stalingrad.…
gulshanssr1,,"RT @VipinRajput123: Without seeing hanging body, suicide note, picture or video. 

How did police declared suicide within 30 minutes? 
@ips…"
BronsonKersey,MEGA CITY ONE,"RT @elizableu: Stay Alive! If you are having thoughts of suicide please reach out for help. Call @800273TALK 

Interview with @AdamCrigler…"
PAkankwatsa,"Kampala, Uganda",RT @Atubehoiggy: If manu wins tonight am committing suicide😎
spiros_kyr,🇬🇷 Hellas,RT @URDailyHistory: 30 Jan 1943: Hitler promotes General Friedrich #Paulus to Field Marshall a day before Paulus surrenders at #Stalingrad.…
oldwisehippie,"Sturgeon Bay, WI","@AnaCabrera @landry_sharon They need to put the names, photos &amp; bios of those killed &amp; injured in a very public pla… https://t.co/pD9HyZwpuh"
g_gosden,United Kingdom,"In summary:
1️⃣ the EU made a mistake which they rectified in hours
2️⃣ we threatened exactly the same thing on Jan… https://t.co/cTB5R5NVDd"
EmotionsWheel,,"@OldMemeArchive Rela talk, suicide mouse has to be one of the worst creepy pastas out there, in the same category as Sonic.exe &amp; smiledog"
AmeenerhUM,Earth,"RT @HassanahDy: Many are alive because suicide is haram.
Many interact and mix with people not because they want to, but because the Prophe…"
AlwaysOctopid,,RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
YouieVon,"Poinciana, FL","RT @PerezHilton: Absolutely tragic. If you or someone you know is considering suicide, please contact the National Suicide Prevention Lifel…"
CollinsFrias,Escondido CA,"@LindaWesson Suicide is indicative of several factors:
Sorrow
Guilt
Loss
Fear
Emptiness
Dark emotions bring self ha… https://t.co/9e46ExkS9a"
DidntGetaway483,"Philadelphia, PA",RT @cbszak: A second police officer has committed suicide after responding to the Jan. 6 riot at the Capitol. Officer Jeffrey Smith took hi…
simplesoul002,,@esther_joseph13 @truthwins1825 @OfficeofVa The culprits never imagined in their wildest dreams that the nation wil… https://t.co/lqo2Prs9bf
TheSaneMind,"भारत, ","And farmers still voted for them.
In MH few years ago Sharad Pawar shot dead some farmers and he still back to powe… https://t.co/3rhDGxvMbi"
AdrianPain,"Toronto, ON","News last night that my sister-in-law took her own life Jan 28th has left our family Heartbroken. 
#Suicide hurts u… https://t.co/2jxkQCCaVA"
CEOofSOADgender,The Prison System,"// suicide 

I can't stand it 
I wish I never fucking had that manic episode 

He never even fucking said sorry aft… https://t.co/l8vokVypPJ"
BlindSoul15,,"RT @AIYIAL: Dr Saleem,brother of Dr Azhar Hussain,who allegedly killed his daughter&amp;committed suicide in Multan last week,was found dead in…"
_addstar,,"RT @plantbasedb: If I die it wasn’t suicide and I love my life, my man and my family.

✌🏼"
hellowhappiness,Bharat,@ansh_bx @Shilpa_Bhartiy @IMinakshiJoshi I do not object nor I deny any farmer can't have SUV 😂 what's your point b… https://t.co/QRwyd37njF
RuthPerez92559,,@BTCVampire @tyler @RobinhoodApp That person MIGHT get killed... like the  two DC  riot police officers that “decid… https://t.co/Hv1ruApbnb
lGOT0HOES,miwi,RT @ASAPYams: I GOT PENALIZED IN REHAB CUZ A BITCH WAS BOUT TO COMMIT SUICIDE AND I SAID OH ITS FUCKIN LIT
ericlahti1,"Albuquerque, NM",RT @silentsufferer5: @JulieKusma I’ve published a book about my teenage years after my fathers suicide in 1998. This book is filled with la…
Sushi_Tuli,Sushant's World ♡,"RT @SushABelieber: No One Saw The Body Hanging.
How Can They Declare It As Suicide!!

CBI Decode SSR Murder 🔥"
Shraddha_4SSR,"Gujarat, India","RT @DoReclaim: @Shraddha_4SSR @ips_nupurprasad @PMOIndia @DoPTGoI If they come and say suicide now then all Trust will be gone :(
CBI Decod…"
howverynaya,"Accra, Ghana",RT @jaynooch: The Boss Baby has committed suicide.
aartisharma309,,"RT @Kumardip10: Things pointing towards murder.
Delete of disha salians file.
Hurry in doing PM.
Taken to Cooper Hospital instead of Leelav…"
sunil8885,"Mumbai, India","RT @Krishthefighter: @AnilDeshmukhNCP
Ji can you please have a look on this news before implementing #Shaktiact
👏 
@vaastavngo
@InsaafNGO
@…"
ButterflyDilma,"Houston, Texas",RT @run_baldbeard: Launching year 3 of Miles for Mike on his 4th birthday in Heaven. Please like and share in the coming months as we work…
Yung_Bary,"Orlando, FL","The only thing worse than a suicide bomber, is the terrorist leader who made the order.  Then sits back, watches th… https://t.co/wvuLmeTHjA"
arvindk9570,Jharkhand ,"#TrueWorship_TrueHappiness
Suicide does not solve the problem.
Rather, precious human life is destroyed by suicide.… https://t.co/jFyo26JwMG"
Rita22685978,"Morgantown, IN",@LindaWesson Something is definitely going on. Silenced or suicide?
bluedillygal,America,"RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
aartisharma309,,"RT @Kumardip10: What kind of professional experience does meme police have that they can say its a suicide within 5 minutes?
On what experi…"
GhostAwakening,,"@BedardSebastien @LunchWithElon @XhafaKristi @elonmusk @boringcompany Who is speaking through me?
What the hell is… https://t.co/c5kv8sVvA7"
Lxxzxcs,"Ipil, Zamboanga Peninsula",Peace of mind? Listen to SUICIDE SILENCE
jonata07cunha,,"RT @WWIIpix: This day in 1943, a few days before collapse of the 6th Army in Stalingrad, Hitler promotes Friedrich Paulus to the rank of Ge…"
raesuckss,ur mum’s cooch,"RT @manlyrockboi: TW; Talk of suicide ⚠️
-
-
-
-
If you are looking for a sign to not kill yourself today. This is it. Don’t do it, your li…"
swarup1972,"New Delhi, India","RT @sifchandigarh: BARC scientist ends life after tiff with wife.
97000 suicides every yr including Doctor, engineer, IAS, IPS officers &amp; s…"
TinaSTara,Washington DC,"RT @Kumardip10: Things pointing towards murder.
Delete of disha salians file.
Hurry in doing PM.
Taken to Cooper Hospital instead of Leelav…"
CoachBigPete,"Westmont, IL",RT @DeepDishFB: If you or someone you know is struggling....PLEASE DONT BE AFRAID TO reach out to the National Suicide Hotline: 1-800-273-8…
Chapa4Roel,"San Antonio,TX,MilitaryCityUSA",RT @therealchucko: Please pray for my daughter who is currently on suicide watch at the hospital.
Devshre20256763,India,"RT @MadhuRay_12: Who is the mastermind of Suicide theory???
@ips_nupurprasad
CBI Decode SSR Murder https://t.co/Iia6KNmeKQ"
derson1,"Tucson, Baja AZ ",@Ederlore @KnowWhatEyeMeme @LindaWesson Humiliation is a big suicide cause.
anil_yeul, India,"RT @Nadiaa_Islam: Why Sushant didn't left any suicide note, if he committed suicide?? 

CBI Decode SSR Murder"
DidntGetaway483,"Philadelphia, PA",RT @McCsmith: @AnnieGabstonH Another one named Jeff Smith committed suicide too.
MariaMesmerized,Visit my Landing page ,RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
soni_meetu,,"RT @ShikhaC95: After 13-14th june~ Why suddenly every bullyweedians became suicide specialist?

CBI Decode SSR Murder"
ps232721,,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
deepconstruct,,@WWIIpix Never figured the honour of suicide. It seems more of a cowards way out than surrendering.
RMiessek,"Las Vegas, NV","RT @Sjhorner51: @SuptJaraCCSD @nytimes @ClarkCountySch But statistics don’t bare this out, our suicide rate is to high but it because we do…"
Dat_Detective,Ran Mouri Hearts,"""A detective who uses his deductive powers to corner a suspect and then does nothing to stop them from commiting su… https://t.co/3cUXBysn5n"
Aleix98861553,,"RT @WWIIpix: This day in 1943, a few days before collapse of the 6th Army in Stalingrad, Hitler promotes Friedrich Paulus to the rank of Ge…"
nonocarbs,,RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
sunil8885,"Mumbai, India","RT @cskkanu: @mataonline It's husband suicide so no further investigation, no punishment to women who are responsible for this killing.
#Hu…"
Travelthetic,"Tokyo-to, Japan // PH","RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
JadaBenton5,,Suicide?¿
himansh05657593,"Meerut, India","RT @AlwaysBHappy21: Happiness Mantra By practicing meditation, millions of @derasachasauda volunteers live life full of positivity and can…"
EnkiGowokuu,@jyugawa ,❝ I wonder if my hair is long enough to commit suicide with. ❞ #enkibot
LyonStipsen,Amsterdam,@KatyMontgomerie Suicide Season is a teenage emo tranthem
therealSalTyre,Try Harding on Series X,"@WholesomeMeme Mental health and Suicide Awareness is important, below is a song I wrote to try help raise awarenes… https://t.co/GbZZbJ96Uc"
yoshmiramontes,"Taylorsville, UT","RT @benthecarman: The great red pilling of America over the last 1.5 years:

August 2019: The most prolific pedophile who had evidence to s…"
AftarAhmad7,rajouri,"RT @majorgauravarya: Pakistan Cabinet Minister @fawadchaudhry says that Pulwama was a big success for @ImranKhanPTI 

Imagine...an elected…"
EICrisco,South Croydon,"@SerMM91 Anthony Barry is intriguing. 34 now, coach for 4 years (or so) and seems committed to improving as a coach… https://t.co/fPiW6SJiTI"
jalebi_bebe,"Cape Town, South Africa","TW: Suicide
*
*
*
*
*
*
Anyone have info on whether su*cides have increased since the lockdown started?"
AftarAhmad7,rajouri,RT @majorgauravarya: After Pulwama @ImranKhanPTI said that it was a false flag operation done by India itself to discredit Pakistan. Today…
Kingredone111,,If somebody talks about suicide and talks like you pushing me towards suicide the police had to know and responded… https://t.co/DnrsIS7Oy3
Dollar_N_aDr3am,"Jamaica ,NY ",@CoriBush @AOC @CoryBooker Can you please find out if the Capitol Officers who took their own  lives left suicide l… https://t.co/vUmSmDYvTP
davidutz,"Baltimore, MD",RT @j_g_allen: Risk of kids dying from COVID is 1 per million. They are 10x more likely to die by suicide. 👇 https://t.co/rNWs1DpjFw
AftarAhmad7,rajouri,"RT @majorgauravarya: What @fawadchaudhry admitted today on the floor of the Pakistani Parliament was exactly what 
Lt Gen KJS Dhillon @Tiny…"
aartisharma309,,"Of Course He didn’t do Suicide 
Evidence Everywhere 
Screaming Loud n Clear
That Its -Murder Murder 
CBI Decode SSR… https://t.co/ZkFR4xFeRr"
wishesofstella_,,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
as_in_butter,"Sun City West, AZ",RT @crowjanefroze: I didn’t think we could be both having vicious hiccups whilst trying to do winged eyeliner and wanting to commit suicide…
haffsenpei,,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
RayKump,NYC,I want the confidence of a hot girl at a bagel shop bragging to me and my fat friends that her dad committed suicide in Beverly Hills.
AftarAhmad7,rajouri,"RT @majorgauravarya: “Ghar mein ghus ke maara” says @fawadchaudhry in reference to Pulwama suicide attack.

Chalo...maana tou ki Kashmir In…"
pukrito_,"Dasmariñas, Rehiyon ng CALABAR","RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
JanetDanner,💙🏄‍♀️ 💙,"RT @AndrewFeinberg: Capitol Police injuries from Capitol insurrection — 

One officer stabbed
One lost an eye
Smashed spinal discs
Brain in…"
trguillen151,AZ,"RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
BlondeGoldDust,"Kentucky, USA",RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
jlonga1,Florida,RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
Zane_SMF,South Carolina,“There is no kind of freedom and liberty other than the kind which the market economy brings about. In a totalitari… https://t.co/Dqhj2shRk6
JyotsnaDwivedi9,"Uttar Pradesh, India","RT @PiyaliBh: So, CBI When you are planning to come with your next statement from “probing all angle” to eliminating Suicide angle? It’s be…"
becalt_,she/they,"tw // implied suicide in lyrics

jubilee line on the uke bc i will never stop covering this song i am in love w it https://t.co/qCws81Kv4v"
MGithuga,"Nairobi, Kenya",Kang'ata comitted political suicide to make Sugoi happy. He will know people
DoReclaim,India,"@Shraddha_4SSR @ips_nupurprasad @PMOIndia @DoPTGoI If they come and say suicide now then all Trust will be gone :(
CBI Decode SSR Murder"
_q_t_importa_,Bangladesh,"RT @benthecarman: The great red pilling of America over the last 1.5 years:

August 2019: The most prolific pedophile who had evidence to s…"
raenafel,Taguig City,"Suicide doesn’t ease the pain, it just gives it to someone else."
BlerdsOnline,Cyberspace,Let's Play: Assisted Suicide https://t.co/rL4zhODHxn
TheySaid_Vegeta,,"@MemeContext A 28-year-old man, an expert in combat and weapons, who lives in a shelter, who was on the verge of be… https://t.co/UphmcUa9bU"
SavanNeilson,"Kilmarnock, Scotland","@ChristineF0wler I did not necessarily mean people who got mental illness, people who rape, violence crime, or a su… https://t.co/dfTeKixncH"
Blind_Blossom,Slytherin Common Room,"RT @Blind_Blossom: *taps mic 

Chuuya, injured and cradled in Dazai’s arms, breathlessly singing Dazai’s suicide song when his ex-partner b…"
BandyXLee1,"New York, NY",“What people find the hardest to cope with is not the suffering itself but ... what their own government has done t… https://t.co/uzkfuIn3eP
Mansiiii__,Between Neurones And Narrative,"RT @loststar1421: If Disha commited Suicide then why Rohan is hiding????

CBI Decode SSR Murder"
EagleGuardian2,"Washington, USA","RT @LRPow79: In the Capitol #insurrection:
🚓140 Police Officers injured
🚓2 Have committed suicide
🚓1 was beaten to death
Blue Lives don’t r…"
BillGaunt5,,"RT @TurnTheUSABlue: @LindaWesson People say Trump had them killed before they could talk, and made it look like suicide to cover it up, jus…"
jeremia02979836,,RT @Moon_ectasy: A minute in and he is suicide baiting. Then he fucking blames it all on hypersexuality. And says its not harrassment cause…
URDailyHistory,"Washington, DC",30 Jan 1943: Hitler promotes General Friedrich #Paulus to Field Marshall a day before Paulus surrenders at… https://t.co/F0CitGasQF
bessy_c3,,"RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
ahmadothman150,,@KBH_____ @OfficialFPL Put Mans on suicide watch 😭😭😭😭
ngirilover,,"RT @nicopeartx: @SenSchumer @SpeakerPelosi With all due respect to Officer Sicknick, what about MPD Officer Jeffrey Smith &amp; USCP Officer Ho…"
editorsahiba,,"RT @nandita_j: What a loss. We cannot keep doing this to ppl. Stop..
Thank you so much @queersprings for working on this thread. I know it…"
GreenVanice,,"RT @NBCNews: A second police officer who defended the U.S. Capitol during the mob attack on Jan. 6 has died by suicide, acting chief of the…"
BillTufts,Canada ,"Out of control

Health Canada issued a suicide crisis warning

 Toronto health issued an opioid death warning 

Tru… https://t.co/rNteF9wRRf"
EvelynS51868235,,"RT @mikecoulson48: @EvelynS51868235 They’re trying to claim asylum, and being detained in conditions so similar to what they’ve been trying…"
ShirleyGuillem1,,RT @OU182: @mmpadellan Which it turns out he was falsely accused of BTW. Committed suicide. Such a tragedy. White privilege in this country…
Darla_jimswife,"Washington, USA","RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
JAngelthorn,Earth at the moment!,@drdavidsamadi Nowhere? Sorry but it’s tragically worse than nowhere! The children and families and small to medium… https://t.co/WLy93HLCqB
Melissa19261499,Southern Great Plains of Texas,"RT @ForrestGump1984: @ChuckCallesto Two policemen was said been committed suicide, I think maybe they knew too much."
sumitd61932277,"Jharkhand, India","#TrueWorship_TrueHappiness
Suicide does not solve the problem.
Rather, precious human life is destroyed by suicide.… https://t.co/MswKBnzGXk"
